OBJECTID,CB_Link_ID,Boro,the_geom,Community,Latitude,Longitude,Constructi,Link_Insta,Smallest_P,Street_Add,Orientatio,Boro_ID,Construc_1,Link_Site
179,LINK-000882,Manhattan,POINT (-73.95371356391736 40.77952672914976),108,40.779535,-73.953715,Not Ready for CX,A - Link Live,119825,170 E 87ST,1 N,NY-MN,02/16/2016 12:00:00 AM +0000,mn-08-119825
180,LINK-000885,Manhattan,POINT (-73.95353556388186 40.779626729419405),108,40.779635,-73.953537,Not Ready for CX,A - Link Live,138052,1550 3 AVENUE,94 E,NY-MN,02/16/2016 12:00:00 AM +0000,mn-08-138052
181,LINK-000886,Manhattan,POINT (-73.95239856467327 40.78077372832646),108,40.780782,-73.9524,Not Ready for CX,A - Link Live,119822,1585 3 AVENUE,323 NW,NY-MN,03/14/2016 12:00:00 AM +0000,mn-08-119822
182,LINK-000887,Manhattan,POINT (-73.95227756523944 40.781494728199625),108,40.781503,-73.952279,Not Ready for CX,A - Link Live,119821,181 E 90ST,301 NW,NY-MN,02/24/2016 12:00:00 AM +0000,mn-08-119821
183,LINK-000888,Manhattan,POINT (-73.9516975654028 40.78215072817982),108,40.782159,-73.951699,Not Ready for CX,A - Link Live,119833,1622 3 AVENUE,106 E,NY-MN,02/11/2016 12:00:00 AM +0000,mn-08-119833
184,LINK-000889,Manhattan,POINT (-73.95126156491332 40.78275972775136),108,40.782768,-73.951263,Not Ready for CX,A - Link Live,119832,1644 3 AVENUE,82 E,NY-MN,02/16/2016 12:00:00 AM +0000,mn-08-119832
185,LINK-000890,Manhattan,POINT (-73.9505515649184 40.783276728392956),108,40.783285,-73.950553,Not Ready for CX,A - Link Live,119830,1675 3 AVENUE,289 W,NY-MN,06/29/2016 12:00:00 AM +0000,mn-08-119830
186,LINK-000891,Manhattan,POINT (-73.94987356449137 40.784654727873274),108,40.784663,-73.949875,Not Ready for CX,A - Link Live,119829,1700 3 AVENUE,112 E,NY-MN,02/18/2016 12:00:00 AM +0000,mn-08-119829
187,LINK-000892,Manhattan,POINT (-73.94903056498038 40.78580972663021),111,40.785818,-73.949032,Not Ready for CX,A - Link Live,120218,175 E 96 ST,91 E,NY-MN,03/01/2016 12:00:00 AM +0000,mn-11-120218
188,LINK-000893,Manhattan,POINT (-73.94794256555302 40.787300726976994),111,40.787309,-73.947944,Not Ready for CX,A - Link Live,107836,1786 3 AVENUE,71 E,NY-MN,04/10/2016 12:00:00 AM +0000,mn-11-107836
189,LINK-000896,Manhattan,POINT (-73.94626056606812 40.78959972636425),111,40.789608,-73.946262,Not Ready for CX,A - Link Live,120214,1888 3 AVENUE,101 E,NY-MN,03/14/2016 12:00:00 AM +0000,mn-11-120214
190,LINK-000897,Manhattan,POINT (-73.94568156622894 40.79039272586413),111,40.790401,-73.945683,Not Ready for CX,A - Link Live,120226,1882 3 AVENUE,87 E,NY-MN,05/19/2016 12:00:00 AM +0000,mn-11-120226
