Date_Received,Appl_Type,CBLinkID,kiosktype,Latitude,Longitude,Borough,ZoningNumb,CB,Building_Number,Street_Name,Cross_Street 1,Cross_Street 2,LinkInHist,Landmark_Name,PavementTy,LinkInBID,BID_Name,permit_app,company_na,LinkInSADName,LinkInSAD,Location 1
08/22/2016,new site,LINK-018112 ,advertising unit,40.679943000000002,-73.940132000000006,Brooklyn,C2-4/R6A,3,1499,FULTON STREET,TOMPKINS AVENUE,KINGSTON AVENUE,NONE,,KINGSTON AVENUE,YES,Bed-Stuy GatewayBID,81522,CityBridge LLC,,,"(40.679943000000002, -73.940132000000006)"
08/22/2016,new site,LINK-018113,advertising unit,40.679743000000002,-73.939102000000005,Brooklyn,C2-4/R7D,3,7,KINGSTON AVENUE,FULTON STREET,HERKIMER STREET,NONE,,HERKIMER STREET,YES,Bed-Stuy GatewayBID,81523,CityBridge LLC,,,"(40.679743000000002, -73.939102000000005)"
08/22/2016,new site,LINK-018114,advertising unit,40.679882999999997,-73.937557999999996,Brooklyn,C2-4/R7D,3,1531,FULTON STREET,THROOP AVENUE,ALBANY AVENUE,NONE,,ALBANY AVENUE,YES,Bed-Stuy GatewayBID,81524,CityBridge LLC,,,"(40.679882999999997, -73.937557999999996)"
08/22/2016,new site,LINK-018115 ,advertising unit,40.679637,-73.936909,Brooklyn,C2-4/R7D,3,1546,FULTON STREET,THROOP AVENUE,ALBANY AVENUE,NONE,,ALBANY AVENUE,YES,Bed-Stuy GatewayBID,81525,CityBridge LLC,,,"(40.679637, -73.936909)"
08/22/2016,new site,LINK-018117,advertising unit,40.679558,-73.935500000000005,Brooklyn,C2-4/R7D,3,1591,FULTON STREET,ALBANY AVENUE,MARCUS GARVEY BOULEVARD,NONE,,MARCUS GARVEY BOULEVARD,YES,Bed-Stuy GatewayBID,81527,CityBridge LLC,,,"(40.679558, -73.935500000000005)"
08/22/2016,new site,LINK-018118,advertising unit,40.679380999999999,-73.929834,Brooklyn,C2-4/R7D,3,1602,FULTON STREET,MARCUS GARVEY BOULEVARD,LEWIS AVENUE,NONE,,LEWIS AVENUE,NO,,81528,CityBridge LLC,,,"(40.679380999999999, -73.929834)"
08/22/2016,new site,LINK-018119,advertising unit,40.679321999999999,-73.928578000000002,Brooklyn,C2-4/R7D,3,1628,FULTON STREET,MARCUS GARVEY BOULEVARD,LEWIS AVENUE,NONE,,LEWIS AVENUE,NO,,81529,CityBridge LLC,,,"(40.679321999999999, -73.928578000000002)"
08/22/2016,new site,LINK-018120,advertising unit,40.679160315252098,-73.926201614982403,Brooklyn,C2-4/R6,3,1741,FULTON STREET,MALCOLM X BOULEVARD,ROCHESTER AVENUE,NONE,,ROCHESTER AVENUE,NO,,81530,CityBridge LLC,,,"(40.679160315252098, -73.926201614982403)"
08/22/2016,new site,LINK-018121,advertising unit,40.679015,-73.921802,Brooklyn,C2-4\17A,3,1755,FULTON STREET,MALCOLM X BOULEVARD,ROCHESTER AVENUE ,NONE,,ROCHESTER AVENUE ,NO,,81531,CityBridge LLC,,,"(40.679015, -73.921802)"
08/22/2016,new site,LINK-018122,advertising unit,40.678562999999997,-73.917236000000003,Brooklyn,C2-4\R7D,3,2,SUMPTER STREET,FULTON STREET ,BEND,NONE,,BEND,NO,,81532,CityBridge LLC,,,"(40.678562999999997, -73.917236000000003)"
